location_project,NearestSite,project,location,Lat,Long,NR,NSR,LUF,AHM,PET,FFP,MAP,MAT,MCMT,MWMT,TrueLat
OG-ABMI-638-61-101_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-101,55.874278,-110.645162,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.874278
OG-ABMI-638-61-102_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-102,55.873723,-110.617905,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.873723
OG-ABMI-638-61-102_ABMI Northern Focal Areas 2020,606,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-102,55.873723,-110.617905,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.873723
OG-ABMI-638-61-103_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-103,55.872332,-110.588304,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.872332
OG-ABMI-638-61-104_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-104,55.871125,-110.561002,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.871125
OG-ABMI-638-61-105_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-105,55.87051,-110.533096,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.87051
OG-ABMI-638-61-105_ABMI Northern Focal Areas 2020,606,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-105,55.87051,-110.533096,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.87051
OG-ABMI-638-61-106_ABMI Northern Focal Areas 2019,639,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-106,55.868593,-110.501525,Boreal,Central Mixedwood,Lower Athabasca,21.3,517,97,461,-0.2,-20.3,16,55.868593
OG-ABMI-638-61-106_ABMI Northern Focal Areas 2020,639,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-106,55.868593,-110.501525,Boreal,Central Mixedwood,Lower Athabasca,21.3,517,97,461,-0.2,-20.3,16,55.868593
OG-ABMI-638-61-107_ABMI Northern Focal Areas 2019,639,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-107,55.86787,-110.475569,Boreal,Central Mixedwood,Lower Athabasca,21.3,517,97,461,-0.2,-20.3,16,55.86787
OG-ABMI-638-61-108_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-108,55.894736,-110.759629,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.894736
OG-ABMI-638-61-108_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-108,55.894736,-110.759629,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.894736
OG-ABMI-638-61-109_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-109,55.892714,-110.73235,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.892714
OG-ABMI-638-61-109_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-109,55.892714,-110.73235,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.892714
OG-ABMI-638-61-11_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-11,55.748136,-110.719911,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.748136
OG-ABMI-638-61-110_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-110,55.891071,-110.644313,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.891071
OG-ABMI-638-61-111_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-111,55.889764,-110.617702,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.889764
OG-ABMI-638-61-112_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-112,55.888512,-110.586945,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.888512
OG-ABMI-638-61-113_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-113,55.887342,-110.558168,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.887342
OG-ABMI-638-61-114_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-114,55.885942,-110.53207,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.885942
OG-ABMI-638-61-114_ABMI Northern Focal Areas 2020,606,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-114,55.885942,-110.53207,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.885942
OG-ABMI-638-61-115_ABMI Northern Focal Areas 2019,606,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-115,55.885873,-110.502292,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.885873
OG-ABMI-638-61-115_ABMI Northern Focal Areas 2020,606,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-115,55.885873,-110.502292,Boreal,Central Mixedwood,Lower Athabasca,22.6,532,100,451,0.2,-20.2,16.5,55.885873
OG-ABMI-638-61-12_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-12,55.745903,-110.690162,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.745903
OG-ABMI-638-61-12_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-12,55.745903,-110.690162,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.745903
